"Smiley, happy face[3][4][5][6]",:‑):),:-]:],:->:>,8-)8),:-}:},:o),:c),:^),=],=),☺️🙂😊😀😁
"Laughing,[3] big grin,[4][5] grinning with glasses[7]",:‑D:D,8‑D8D,=D,=3,B^D,c:,C:,😃😄😍
Laughing[8][9][10],x‑DxD,X‑DXD,😆😂
Very happy or double chin[7],:-)),
"Frown,[3][4][5] sad,[11] pouting",:‑(:(,:‑c:c,:‑< :<,:‑[:[,:-||,:{,:@,:(,;(,☹️🙁😞😟😣😖
Crying[11],:'‑(:'(,:=(,😢😭
Tears of happiness[11],:'‑):'),":""D",🥲🥹😂
Angry[12],>:(,>:[,😠😡
"Horror, disgust, sadness, great dismay[4][5] (right to left)",D‑':,D:<,D:,D8,D;,D=,DX,😨😧😦😱😫😩
"Surprise,[2] shock,[3][13][14] yawn[3]",:‑O:O,:‑o:o,:-0,8‑0,>:O,"=O=o
=0",😮😯😲
"Cat face, curled mouth, cutesy,[15][16][17] playful, mischievous[18]",:-3:3,=3,x3X3,😺😸🐱
"Lion smile,[18] evil cat",>:3,😼
Kiss[3],:-*:*,:×,😗😙😚😘😍
"Wink,[3][4][5] smirk[13][3]",;‑);),*-)*),;‑];],";^)
;>",":‑,",;D,;3,😉😜😘
"Tongue sticking out, cheeky/playful,[3] blowing a raspberry",:‑P:P,X‑PXP,x‑pxp,:‑p:p,:‑Þ:Þ,:‑þ:þ,:‑b:b,d:,=p,>:P,😛😝😜🤑
"Skeptical, annoyed, undecided, uneasy, hesitant[3]",:-/:/,:‑.,>:\,>:/,:\,=/,=\,:L,=L,:S,🫤🤔😕😟
"Straight face[4] no expression, indecision[11]",:‑|:|,😐😑
"Embarrassed,[5] blushing[7]",:$,://)://3,😳😞😖
"Sealed lips, wearing braces,[3] tongue-tied[11]",:‑X:X,:‑#:#,:‑&:&,🤐😶
"Angel,[3][4][13] halo, saint,[11] innocent",O:‑)O:),0:‑30:3,0:‑)0:),0;^),😇👼
"Evil,[4] devilish[11]",>:‑)>:),}:‑)}:),3:‑)3:),>;‑)>;),>:3;3,😈
"Cool,[11] bored, yawning[13]",|;‑),|‑O,B-),😎😪
Tongue-in-cheek[19],:‑J,😏😒
Partied all night[11],#‑),
