Laugh,:‑D,:D,8‑D,8D,=D,=3,B^D,c:,C:,x‑D,xD,X‑D,XD,>^_^<,<^!^>,^/^,（*^_^*）,§^.^§,(^<^),(^.^),(^ム^),(^·^),(^.^),(^_^.),(^_^),(^^),(^J^),(*^.^*),^_^,(#^.^#),（^—^）
Laugh,:‑D,:D,8‑D,8D,=D,=3,B^D,c:,C:,x‑D,xD,X‑D,XD,>^_^<,<^!^>,^/^,（*^_^*）,§^.^§,(^<^),(^.^),(^ム^),(^·^),(^.^),(^_^.),(^_^),(^^),(^J^),(*^.^*),^_^,(#^.^#),（^—^）
Happy,:‑),:),:-],:],:->,:>,8-),8),:-},:},:o),:c),:^),=],=),:-)),(●＾o＾●),(＾ｖ＾),(＾ｕ＾),(＾◇＾),( ^)o(^ ),(^O^),(^o^),(^○^),)^o^(,(*^▽^*),(✿◠‿◠)
Sad,:‑(,:(,:‑c,:c,:‑<,:<,:‑[,:[,:-||,:{,:@,:(,;(,(..),(._.)
Crying,:'‑(,:'(,:=(,( ༎ຶ ۝ ༎ຶ ),('_'),(/_;),(T_T),(;_;),(;_;,(;_:),(;O;),(:_;),(ToT),(Ｔ▽Ｔ),;_;,;-;,;n;,;;,Q.Q,T.T,TnT,QQ,Q_Q
Tears of happiness,:'‑),:')
Angry,>:(,>:[
Horror,D‑':,D:<,D:,D8,D;,D=,DX
Surprise,:‑O,:O,:‑o,:o,:-0,8‑0,>:O,=O,=o,=0,(￣□￣;),°o°,°O°,:O,o_O,o_0,o.O,(o.o),oO
Cat,:-3,:3,=3,x3,X3,(=ʘᆽʘ=)∫,(=^・^=),(=^・・^=),=^_^=
Kiss,:-*,:*,:×,(๑ˇεˇ๑),(*^3^)/~☆
Wink,;‑),;),*-),*),;‑],;],;^),;>,;D,;3,(^_-),(^_-)-☆
Tongue sticking out,:‑P,:P,X‑P,XP,x‑p,xp,:‑p,:p,:‑Þ,:Þ,:‑þ,:þ,:‑b,:b,d:,=p,>:P
Annoyed,:-/,:/,:‑.,>:\,>:/,:\,=/,=\,:L,=L,:S,<(｀^´)>
Straight face,:‑|,:|
Embarrassed,:$,://),://3,(⁄ ⁄•⁄ω⁄•⁄ ⁄)
Sealed lips,:‑X,:X,:‑#,:#,:‑&,:&
Angel,O:‑),O:),0:‑3,0:3,0:‑),0:),0;^)
Evil,>:‑),>:),}:‑),}:),3:‑),3:),>;‑),>;),>:3,;3,>:3
Cool,|;‑),|‑O,B-)
Tongue-in-cheek,:‑J
Partied all night,#‑)
Confused,%‑),%),((+_+)),(+o+),(°°),(°-°),(°.°),(°_°)(°_°>),(°レ°)
Being sick,:‑###..,:###..
Dumb,<:‑|
Disbelief,"',:-|","',:-l"
Awkward",:E
Skull,8-X,8=X,x-3,x=3
Chicken,~:>
Rose,@};-,@}->--,@}‑;‑'‑‑‑,@>‑‑>‑‑
Penis,8====D,8===D,8=D,3=D,8=>,8===D~~~
Elvis Presley,5:‑)
Santa Claus,*<|:‑)
Homer Simpson,~(_8^(I)
Bill Clinton,=:o]
Ronald Reagan,7:^],",:‑)"
Broken heart,</3,<\3
Heart,<3
Darwin fish,ӽd̲̅a̲̅r̲̅w̲̅i̲̅ɳ̲̅ᕗ,Ӽd̲̅a̲̅r̲̅w̲̅i̲̅ɳ̲̅ᕗ
Evolution fish,ӽe̲̅v̲̅o̲̅l̲̅u̲̅t̲̅i̲̅o̲̅ɳ̲̅ᕗ,Ӽe̲̅v̲̅o̲̅l̲̅u̲̅t̲̅i̲̅o̲̅ɳ̲̅ᕗ
Dollar notes,[̲̅$̲̅(̲̅1̲̅)̲̅$̲̅],[̲̅$̲̅(̲̅5̲̅)̲̅$̲̅],[̲̅$̲̅(̲̅1̲̅0̲̅)̲̅$̲̅],[̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅]
Lenny Face,( ͡° ͜ʖ ͡°)
Raise Your Dongers,ヽ༼ຈل͜ຈ༽ﾉ,
Look of Disapproval,ಠ_ಠ,ಠ__ಠ,ಠ益ಠ
Bat,⎛⎝(•ⱅ•)⎠⎞,◥▅◤,◢▅◣,～°·_·°～
Flower Girl,(◕‿◕✿)
Bear,ʕ •ᴥ•ʔ,ʕ ·(エ)· ʔ,ʕ – ㉨ – ʔ,⊂(￣(ｴ)￣)⊃
Troubled,(>_<),(>_<)>,(>w<)
Baby,(';')
Nervous,(^^ゞ,(^_^;),(-_-;),(~_~;),(・.・;),(・_・;),(・・;)^^;,^_^;,(#^.^#),(^^;)
Smoking,(^.^)y-.o○,(-.-)y-°°°
Sleeping,(-_-)zzz,(-_-),zzz(︶｡︶✽)
Ultraman,(o|o)
Joyful,^_^,(°o°),(^_^)/,(^O^)／,(^o^)／,(^^)/,(≧∇≦)/,(/◕ヮ◕)/,(^o^)丿,∩(·ω·)∩,(·ω·),^ω^
Apology,(__),_(._.)_,_(_^_)_,<(_ _)>,<m(__)m>,m(__)m,m(_ _)m
Middle fingers,(凸ಠ益ಠ)凸
Questioning,＼(°ロ＼),(／ロ°)／
Shame,(ー_ー),!!,(-.-),(-_-),(一一),(；一_一)
Tired,(=_=)
Giggling with hand covering mouth,^m^
Confusion,(・・?(?_?)
Facepalm,(－‸ლ)
Waving,(^^)/~~~,(^_^)/~,(;_;)/~~~,(^.^)/~~~,(-_-)/~~~,($··)/~~~,(@^^)/~~~,(T_T)/~~~,(ToT)/~~~
Alien,(V)o￥o(V)
Excited,＼(~o~)／,＼(^o^)／,＼(-o-)／,ヽ(^。^)ノ,ヽ(^o^)丿,(*^0^*)
Amazed,(*_*),(*_*;,(+_+),(@_@),(@_@。,(＠_＠;),＼(◎o◎)／！,!(^^)!,
Cheerful,(*^^)v,(^^)v,(^_^)v,（’-’*),(＾ｖ＾),(＾▽＾),(・∀・),(´∀`),(⌒▽⌒）
Hopeless,＼(^o^)／,\(^o^)/,(~o~),(~_~),(^^ゞ
Calmness,ˊ＿>ˋ,(p_-),(-_q)
Listening to music,((d[-_-]b))
Worried,(-""-),(ーー゛),(^_^メ),(-_-メ),(~_~メ),(－－〆),(・へ・),(｀´),<`～´>,<`ヘ´>,(ーー;)
Eyeglasses,(^0_0^)
Jotting note,( ..),φφ,(..)
Grinning,(￣ー￣)
Infatuation,(*´▽｀*),(*°∀°)=3
Dancing,ᕕ( ᐛ )ᕗ
Shocked,（ ﾟ Дﾟ),(°◇°)
Dissatisfied,(*￣m￣)
Shrug,ヽ(´ー｀)┌,¯\_(ツ)_/¯,¯\(°_o)/¯
Snubbed,(´･ω･`),(‘A`),
Hugging,(づ￣ ³￣)づ,
Studying is good,.....φ(・∀・＊)
Cute,uwuUwU
Distress,囧
Bubbles,.o○○o.
Cup of tea,( ^^)_U,~~( ^^)_旦~~
Shooting star,☆彡,☆ミ
Fish,>°)))彡(Q))><ヨヨ,(°))<<>°))))彡<°)))彡>°))彡,<+))><<<*))>=<
Octopus,<コ:彡,Ｃ:.ミ
Snake,~>°)～～～
Tadpole,(°°)～
Bomb,●～*
Table flip,(╯°□°）╯︵ ┻━┻┬──┬, ¯\_(ツ), ┻━┻,︵ヽ(`Д´)ﾉ︵ ┻━┻,┬─┬ノ( º _ ºノ),(ノಠ益ಠ)ノ彡┻━┻
Laugh,:‑D
Happy,:‑)
Sad,:‑(
Crying,:'‑(
Tears of happiness,:'‑)
Angry,>:(
Horror,D‑':
Surprise,:‑O
Cat,:-3
Kiss,:-*
